postnr;postnr_by;aktiv
1809;Frederiksberg C;t
1810;Frederiksberg C;t
1811;Frederiksberg C;t
1812;Frederiksberg C;t
1813;Frederiksberg C;t
1814;Frederiksberg C;t
1815;Frederiksberg C;t
1816;Frederiksberg C;t
1817;Frederiksberg C;t
1818;Frederiksberg C;t
1819;Frederiksberg C;t
1820;Frederiksberg C;t
1822;Frederiksberg C;t
1823;Frederiksberg C;t
1824;Frederiksberg C;t
1825;Frederiksberg C;t
1826;Frederiksberg C;t
1827;Frederiksberg C;t
1828;Frederiksberg C;t
1829;Frederiksberg C;t
1850;Frederiksberg C;t
1851;Frederiksberg C;t
1852;Frederiksberg C;t
1853;Frederiksberg C;t
1854;Frederiksberg C;t
1855;Frederiksberg C;t
1856;Frederiksberg C;t
1857;Frederiksberg C;t
1860;Frederiksberg C;t
1861;Frederiksberg C;t
1862;Frederiksberg C;t
1863;Frederiksberg C;t
1864;Frederiksberg C;t
1865;Frederiksberg C;t
1866;Frederiksberg C;t
1867;Frederiksberg C;t
1868;Frederiksberg C;t
1870;Frederiksberg C;t
1871;Frederiksberg C;t
1872;Frederiksberg C;t
1873;Frederiksberg C;t
1874;Frederiksberg C;t
1875;Frederiksberg C;t
1876;Frederiksberg C;t
1877;Frederiksberg C;t
1878;Frederiksberg C;t
1879;Frederiksberg C;t
1900;Frederiksberg C;t
1901;Frederiksberg C;t
1902;Frederiksberg C;t
1903;Frederiksberg C;t
1904;Frederiksberg C;t
1905;Frederiksberg C;t
1906;Frederiksberg C;t
1908;Frederiksberg C;t
1909;Frederiksberg C;t
1910;Frederiksberg C;t
1911;Frederiksberg C;t
1912;Frederiksberg C;t
1913;Frederiksberg C;t
1914;Frederiksberg C;t
1915;Frederiksberg C;t
1916;Frederiksberg C;t
1917;Frederiksberg C;t
1920;Frederiksberg C;t
1921;Frederiksberg C;t
1922;Frederiksberg C;t
1923;Frederiksberg C;t
1924;Frederiksberg C;t
1925;Frederiksberg C;t
1926;Frederiksberg C;t
1927;Frederiksberg C;t
1928;Frederiksberg C;t
1950;Frederiksberg C;t
1951;Frederiksberg C;t
1952;Frederiksberg C;t
1953;Frederiksberg C;t
1954;Frederiksberg C;t
1955;Frederiksberg C;t
1956;Frederiksberg C;t
1957;Frederiksberg C;t
1958;Frederiksberg C;t
1959;Frederiksberg C;t
1960;Frederiksberg C;t
1961;Frederiksberg C;t
1962;Frederiksberg C;t
1963;Frederiksberg C;t
1964;Frederiksberg C;t
1965;Frederiksberg C;t
1966;Frederiksberg C;t
1967;Frederiksberg C;t
1970;Frederiksberg C;t
1971;Frederiksberg C;t
1972;Frederiksberg C;t
1973;Frederiksberg C;t
1974;Frederiksberg C;t
2000;Frederiksberg;t
2100;København Ø;t
2150;Nordhavn;t
2200;København N;t
2300;København S;t
2400;København NV;t
2450;København SV;t
2500;Valby;t
2600;Glostrup;t
2605;Brøndby;t
2610;Rødovre;t
2620;Albertslund;t
2625;Vallensbæk;t
2630;Taastrup;t
2635;Ishøj;t
2640;Hedehusene;t
2650;Hvidovre;t
2660;Brøndby Strand;t
2665;Vallensbæk Strand;t
2670;Greve;t
2680;Solrød Strand;t
2690;Karlslunde;t
2700;Brønshøj;t
2720;Vanløse;t
2730;Herlev;t
2740;Skovlunde;t
2750;Ballerup;t
2760;Måløv;t
2765;Smørum;t
2770;Kastrup;t
2791;Dragør;t
2800;Kongens Lyngby;t
2820;Gentofte;t
2830;Virum;t
2840;Holte;t
2850;Nærum;t
2860;Søborg;t
2870;Dyssegård;t
2880;Bagsværd;t
2900;Hellerup;t
2920;Charlottenlund;t
2930;Klampenborg;t
2942;Skodsborg;t
2950;Vedbæk;t
2960;Rungsted Kyst;t
2970;Hørsholm;t
2980;Kokkedal;t
2990;Nivå;t
3000;Helsingør;t
3050;Humlebæk;t
3060;Espergærde;t
3070;Snekkersten;t
3080;Tikøb;t
3100;Hornbæk;t
3120;Dronningmølle;t
3140;Ålsgårde;t
3150;Hellebæk;t
3200;Helsinge;t
3210;Vejby;t
3220;Tisvildeleje;t
3230;Græsted;t
3250;Gilleleje;t
3300;Frederiksværk;t
3310;Ølsted;t
3320;Skævinge;t
3330;Gørløse;t
3360;Liseleje;t
3370;Melby;t
3390;Hundested;t
3400;Hillerød;t
3450;Allerød;t
3460;Birkerød;t
3480;Fredensborg;t
3490;Kvistgård;t
3500;Værløse;t
3520;Farum;t
3540;Lynge;t
3550;Slangerup;t
3600;Frederikssund;t
3630;Jægerspris;t
3650;Ølstykke;t
3660;Stenløse;t
3670;Veksø Sjælland;t
3700;Rønne;t
3720;Aakirkeby;t
3730;Nexø;t
3740;Svaneke;t
3751;Østermarie;t
3760;Gudhjem;t
3770;Allinge;t
3782;Klemensker;t
3790;Hasle;t
4000;Roskilde;t
4030;Tune;t
4040;Jyllinge;t
4050;Skibby;t
4060;Kirke Såby;t
4070;Kirke Hyllinge;t
4100;Ringsted;t
4130;Viby Sjælland;t
4140;Borup;t
4160;Herlufmagle;t
4171;Glumsø;t
4173;Fjenneslev;t
4174;Jystrup Midtsj;t
4180;Sorø;t
4190;Munke Bjergby;t
4200;Slagelse;t
4220;Korsør;t
4230;Skælskør;t
4241;Vemmelev;t
4242;Boeslunde;t
4243;Rude;t
4244;Agersø;t
4245;Omø;t
4250;Fuglebjerg;t
4261;Dalmose;t
4262;Sandved;t
4270;Høng;t
4281;Gørlev;t
4291;Ruds Vedby;t
4293;Dianalund;t
4295;Stenlille;t
4296;Nyrup;t
4300;Holbæk;t
4305;Orø;t
4320;Lejre;t
4330;Hvalsø;t
4340;Tølløse;t
4350;Ugerløse;t
4360;Kirke Eskilstrup;t
4370;Store Merløse;t
4390;Vipperød;t
4400;Kalundborg;t
4420;Regstrup;t
4440;Mørkøv;t
4450;Jyderup;t
4460;Snertinge;t
4470;Svebølle;t
4480;Store Fuglede;t
4490;Jerslev Sjælland;t
4500;Nykøbing Sj;t
4520;Svinninge;t
4532;Gislinge;t
4534;Hørve;t
4540;Fårevejle;t
4550;Asnæs;t
4560;Vig;t
4571;Grevinge;t
4572;Nørre Asmindrup;t
4573;Højby;t
4581;Rørvig;t
4583;Sjællands Odde;t
4591;Føllenslev;t
4592;Sejerø;t
4593;Eskebjerg;t
4600;Køge;t
4621;Gadstrup;t
4622;Havdrup;t
4623;Lille Skensved;t
4632;Bjæverskov;t
4640;Faxe;t
4652;Hårlev;t
4653;Karise;t
4654;Faxe Ladeplads;t
4660;Store Heddinge;t
4671;Strøby;t
4672;Klippinge;t
4673;Rødvig Stevns;t
4681;Herfølge;t
4682;Tureby;t
4683;Rønnede;t
4684;Holmegaard;t
4690;Haslev;t
4700;Næstved;t
4720;Præstø;t
4733;Tappernøje;t
4735;Mern;t
4736;Karrebæksminde;t
4750;Lundby;t
4760;Vordingborg;t
4771;Kalvehave;t
4772;Langebæk;t
4773;Stensved;t
4780;Stege;t
4791;Borre;t
4792;Askeby;t
4793;Bogø By;t
4800;Nykøbing F;t
4840;Nørre Alslev;t
4850;Stubbekøbing;t
4862;Guldborg;t
4863;Eskilstrup;t
4871;Horbelev;t
4872;Idestrup;t
4873;Væggerløse;t
4874;Gedser;t
4880;Nysted;t
4891;Toreby L;t
4892;Kettinge;t
4894;Øster Ulslev;t
4895;Errindlev;t
4900;Nakskov;t
4912;Harpelunde;t
4913;Horslunde;t
4920;Søllested;t
4930;Maribo;t
4941;Bandholm;t
4942;Askø;t
4943;Torrig L;t
4944;Fejø;t
4945;Femø;t
4951;Nørreballe;t
